1.0 0.3 128 	1.0 1.33 0.0    0.9 0.9 0.9 	0.9 0.9 0.9   0.1 0.1 0.1	  0.5 0.5 0.0   0.0 0.0 0.0     7.0 7.0 0.2
1.0 0.3 10      0.0 1.33 0.0    0.1 0.1 0.5 	0.1 0.1 0.5   0.1 0.1 0.1	  1.0 1.0 1.0   0.1 0.2 0.0     1.0 1.0 0.0
1.0 0.3 10 	    0.0 1.33 0.0    0.1 0.5 0.1 	0.1 0.5 0.1   0.0 0.1 0.1	  1.0 1.0 0.0   0.0 0.0 0.0     2.0 3.0 1.0
1.0 0.3 10      0.0 1.33 0.0    0.5 0.1 0.1 	0.5 0.1 0.1   0.1 0.1 0.1	  0.1 0.0 0.0   0.0 0.0 0.0     1.0 1.0 1.0
1.0 0.5 512     7.0 1.66 0.0  	0.98 0.8 0.9 	0.98 0.8 0.9   1.0 0.0 0.5	  0.1 0.9 0.9   0.0 0.0 0.0     1.0 1.0 0.4
1.0 0.0 100     0.0 1.33 0.7 	0.8 0.8 0.8 	0.8 0.8 0.8   0.514 0.318 0.212	  1.0 1.0 0.0   0.0 0.0 0.0     1.0 1.0 2.0
1.0 0.2 128 	5.0 1.33 0.0    0.133 0.694 0.298 	0.133 0.694 0.298   1.0 0.6 0.4	  0.5 0.5 0.5   0.0 0.0 0.0     1.0 1.0 0.5
1.0 0.2 1024 	7.0 1.33 0.3    0.75 0.25 0.0 	0.75 0.25 0.0   1.0 0.6 0.4	  0.5 0.5 0.5   0.0 0.0 0.0     1.0 1.0 1.0


#[-, ks, exp][matType, eta, sigmaSqr] [La]   [LDprimary] [LDsecondary]   [LSspecular]    [TexPos]      [TexScale.xy, absorptionCoeff]
